ADVERSARY_NAME,apt32,apt28,turla,lazarus-group,oilrig,apt41,gamaredon-group,dragonfly-2.0,unc2452,tropic-trooper,threat-group-3390,wizard-spider,fin6,sandworm-team,frankenstein,apt3,menupass,rocke,muddywater,bronze-butler,apt39,apt37,soft-cell,patchwork,ke3chang,silence,stealth-falcon,magic-hound,honeybee,inception,cobalt-group,apt38,leviathan,darkhotel,blue-mockingbird,apt33,apt19,kimsuky,fin8,darkvishnya,chimera,apt1,admin@338,leafminer,fin7,fin5,apt18,sowbug,platinum,night-dragon,molerats,elderwood,dark-caracal,apt29,whitefly,ta505,poseidon-group,gorgon-group,gold-southfield,temp.veles,suckfly,sharpshooter,fin10,dust-storm,deep-panda,axiom,apt-c-36,winnti-group,windshift,wirte,the-white-company,stolen-pencil,rtm,machete,group5,dragonfly,darkhydrus,carbanak,blacktech,thrip,threat-group-1314,ta459,rancor,putter-panda,pittytiger,promethium,naikon,mofang,gallmaker,fin4,equation,blackoasis,apt17,apt12,taidoor,strider,silverterrier,scarlet-mimic,orangeworm,neodymium,moafee,monsoon,lotus-blossom,gcman,dragonok,copykittens,cleaver,charming-kitten,apt34,apt30,apt16
threat-group-3390,8%,12%,12%,8%,14%,14%,14%,10%,16%,11%,-,19%,13%,20%,13%,7%,21%,14%,14%,7%,7%,8%,17%,17%,0%,27%,0%,10%,30%,11%,11%,11%,38%,25%,25%,25%,38%,0%,43%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,40%,20%,20%,20%,25%,25%,0%,50%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
wizard-spider,8%,8%,8%,8%,9%,14%,10%,10%,11%,5%,16%,-,13%,13%,7%,7%,14%,7%,7%,0%,7%,8%,17%,17%,0%,27%,0%,10%,20%,11%,11%,11%,25%,13%,25%,25%,25%,0%,43%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,20%,20%,20%,20%,25%,25%,0%,25%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
fin6,4%,8%,4%,4%,9%,9%,5%,5%,11%,5%,11%,13%,-,13%,7%,7%,14%,7%,7%,0%,7%,8%,17%,8%,0%,18%,0%,10%,10%,11%,11%,0%,25%,13%,25%,25%,13%,0%,29%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,20%,20%,20%,20%,25%,25%,0%,0%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
sandworm-team,4%,12%,8%,4%,14%,9%,10%,5%,16%,11%,16%,13%,13%,-,13%,7%,21%,14%,14%,7%,7%,8%,17%,8%,0%,18%,0%,10%,20%,11%,11%,0%,38%,25%,13%,25%,25%,0%,29%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,40%,20%,20%,20%,25%,25%,0%,25%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
frankenstein,4%,12%,8%,4%,9%,5%,14%,5%,11%,16%,11%,6%,6%,13%,-,7%,14%,14%,14%,7%,0%,8%,8%,8%,0%,9%,0%,10%,20%,22%,11%,0%,25%,25%,13%,13%,25%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,40%,20%,20%,20%,25%,25%,0%,25%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt3,4%,4%,4%,4%,5%,5%,5%,0%,5%,5%,5%,6%,6%,7%,7%,-,7%,7%,7%,0%,0%,8%,8%,8%,0%,9%,0%,10%,10%,11%,11%,0%,13%,13%,13%,13%,13%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
menupass,8%,12%,8%,4%,14%,9%,10%,10%,21%,11%,16%,13%,13%,20%,13%,7%,-,14%,14%,14%,7%,8%,17%,8%,0%,18%,0%,10%,20%,11%,11%,0%,38%,25%,13%,25%,25%,0%,29%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,40%,20%,20%,20%,25%,25%,0%,25%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,50%,50%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
rocke,4%,12%,8%,4%,9%,9%,10%,0%,11%,11%,11%,6%,6%,13%,13%,7%,14%,-,14%,7%,0%,8%,8%,8%,0%,9%,0%,10%,20%,11%,11%,0%,25%,25%,13%,13%,25%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,40%,20%,20%,20%,25%,25%,0%,25%,0%,0%,0%,0%,0%,33%,0%,0%,33%,50%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
muddywater,4%,8%,8%,4%,9%,5%,10%,0%,11%,11%,11%,6%,6%,13%,13%,7%,14%,14%,-,7%,0%,8%,8%,8%,0%,9%,0%,10%,20%,11%,11%,0%,25%,25%,13%,13%,25%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,40%,20%,20%,20%,25%,25%,0%,25%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
bronze-butler,4%,4%,4%,0%,5%,0%,5%,5%,11%,5%,5%,0%,0%,7%,7%,0%,14%,7%,7%,-,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,13%,13%,0%,0%,13%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt39,0%,4%,0%,0%,5%,5%,0%,5%,5%,0%,5%,6%,6%,7%,0%,0%,7%,0%,0%,0%,-,0%,8%,0%,0%,9%,0%,0%,0%,0%,0%,0%,13%,0%,0%,13%,0%,0%,14%,0%,14%,0%,0%,0%,0%,17%,17%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt37,8%,4%,8%,4%,5%,9%,5%,0%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,7%,0%,0%,-,8%,8%,0%,18%,0%,10%,20%,11%,22%,0%,13%,13%,13%,13%,13%,14%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,20%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
soft-cell,4%,8%,4%,4%,9%,9%,5%,5%,11%,5%,11%,13%,13%,13%,7%,7%,14%,7%,7%,0%,7%,8%,-,8%,0%,18%,0%,10%,10%,11%,11%,0%,25%,13%,13%,25%,13%,0%,29%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,20%,20%,20%,20%,25%,25%,0%,0%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
patchwork,8%,4%,8%,8%,5%,14%,10%,5%,5%,5%,11%,13%,6%,7%,7%,7%,7%,7%,7%,0%,0%,8%,8%,-,0%,18%,0%,10%,20%,11%,11%,11%,25%,13%,25%,13%,25%,0%,29%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,25%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ke3chang,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
silence,12%,8%,12%,8%,9%,18%,10%,10%,11%,5%,16%,19%,13%,13%,7%,7%,14%,7%,7%,0%,7%,15%,17%,17%,0%,-,0%,10%,30%,11%,22%,11%,25%,13%,25%,25%,25%,14%,43%,0%,29%,0%,0%,17%,17%,17%,33%,0%,20%,40%,20%,20%,20%,20%,25%,25%,0%,25%,0%,33%,33%,33%,33%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
stealth-falcon,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
magic-hound,4%,4%,4%,4%,5%,5%,5%,0%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,7%,0%,0%,8%,8%,8%,0%,9%,0%,-,10%,11%,11%,0%,13%,13%,13%,13%,13%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
honeybee,12%,8%,16%,8%,9%,14%,14%,5%,11%,11%,16%,13%,6%,13%,13%,7%,14%,14%,14%,7%,0%,15%,8%,17%,0%,27%,0%,10%,-,11%,22%,11%,25%,25%,25%,13%,38%,14%,29%,0%,14%,0%,0%,17%,17%,0%,17%,0%,20%,20%,40%,20%,20%,20%,25%,25%,0%,50%,0%,0%,0%,33%,0%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
inception,4%,8%,4%,4%,5%,5%,10%,5%,5%,11%,5%,6%,6%,7%,13%,7%,7%,7%,7%,0%,0%,8%,8%,8%,0%,9%,0%,10%,10%,-,11%,0%,13%,13%,13%,13%,13%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,50%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
cobalt-group,8%,4%,8%,4%,5%,9%,5%,0%,5%,5%,5%,6%,6%,7%,7%,7%,7%,7%,7%,0%,0%,15%,8%,8%,0%,18%,0%,10%,20%,11%,-,0%,13%,13%,13%,13%,13%,14%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,20%,20%,20%,20%,20%,20%,25%,25%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt38,4%,0%,4%,4%,0%,5%,5%,5%,0%,0%,5%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,0%,9%,0%,0%,10%,0%,0%,-,0%,0%,13%,0%,13%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
leviathan,4%,12%,8%,4%,14%,14%,10%,5%,16%,11%,16%,13%,13%,20%,13%,7%,21%,14%,14%,7%,7%,8%,17%,17%,0%,18%,0%,10%,20%,11%,11%,0%,-,25%,13%,25%,25%,0%,29%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,40%,20%,20%,20%,25%,25%,0%,25%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
darkhotel,4%,8%,8%,4%,9%,5%,10%,0%,11%,11%,11%,6%,6%,13%,13%,7%,14%,14%,14%,7%,0%,8%,8%,8%,0%,9%,0%,10%,20%,11%,11%,0%,25%,-,13%,13%,25%,0%,14%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,40%,20%,20%,20%,25%,25%,0%,25%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
blue-mockingbird,8%,4%,8%,8%,5%,9%,10%,5%,5%,5%,11%,13%,13%,7%,7%,7%,7%,7%,7%,0%,0%,8%,8%,17%,0%,18%,0%,10%,20%,11%,11%,11%,13%,13%,-,13%,25%,0%,29%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,20%,20%,20%,20%,25%,25%,0%,25%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt33,4%,8%,4%,4%,9%,9%,5%,5%,11%,5%,11%,13%,13%,13%,7%,7%,14%,7%,7%,0%,7%,8%,17%,8%,0%,18%,0%,10%,10%,11%,11%,0%,25%,13%,13%,-,13%,0%,29%,0%,29%,0%,0%,17%,17%,17%,33%,0%,0%,40%,20%,20%,20%,20%,25%,25%,0%,0%,0%,33%,33%,0%,33%,33%,0%,0%,33%,0%,0%,0%,0%,0%,0%,50%,50%,0%,0%,50%,0%,0%,0%,0%,0%,100%,100%,0%,0%,100%,100%,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt19,8%,8%,12%,8%,9%,9%,14%,5%,11%,11%,16%,13%,6%,13%,13%,7%,14%,14%,14%,7%,0%,8%,8%,17%,0%,18%,0%,10%,30%,11%,11%,11%,25%,25%,25%,13%,-,0%,29%,0%,14%,0%,0%,17%,17%,0%,17%,0%,0%,20%,40%,20%,20%,20%,25%,25%,0%,50%,0%,0%,0%,0%,0%,33%,0%,0%,33%,0%,0%,50%,0%,0%,0%,50%,50%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,100%,100%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
