ADVERSARY_NAME,apt32,apt28,turla,lazarus-group,oilrig,apt41,gamaredon-group,dragonfly-2.0,unc2452,tropic-trooper,threat-group-3390,wizard-spider,fin6,sandworm-team,frankenstein,apt3,menupass,rocke,muddywater,bronze-butler,apt39,apt37,soft-cell,patchwork,ke3chang,silence,stealth-falcon,magic-hound,honeybee,inception,cobalt-group,apt38,leviathan,darkhotel,blue-mockingbird,apt33,apt19,kimsuky,fin8,darkvishnya,chimera,apt1,admin@338,leafminer,fin7,fin5,apt18,sowbug,platinum,night-dragon,molerats,elderwood,dark-caracal,apt29,whitefly,ta505,poseidon-group,gorgon-group,gold-southfield,temp.veles,suckfly,sharpshooter,fin10,dust-storm,deep-panda,axiom,apt-c-36,winnti-group,windshift,wirte,the-white-company,stolen-pencil,rtm,machete,group5,dragonfly,darkhydrus,carbanak,blacktech,thrip,threat-group-1314,ta459,rancor,putter-panda,pittytiger,promethium,naikon,mofang,gallmaker,fin4,equation,blackoasis,apt17,apt12,taidoor,strider,silverterrier,scarlet-mimic,orangeworm,neodymium,moafee,monsoon,lotus-blossom,gcman,dragonok,copykittens,cleaver,charming-kitten,apt34,apt30,apt16
apt3,23%,8%,24%,21%,23%,18%,14%,20%,26%,32%,16%,25%,6%,20%,27%,-,21%,21%,36%,14%,14%,23%,33%,25%,50%,9%,40%,50%,30%,33%,0%,22%,0%,38%,13%,0%,38%,29%,14%,0%,0%,43%,67%,33%,0%,17%,33%,40%,0%,0%,20%,0%,20%,0%,0%,25%,50%,0%,0%,0%,0%,0%,33%,33%,67%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
menupass,15%,0%,12%,4%,14%,14%,0%,10%,5%,16%,21%,13%,13%,13%,7%,20%,-,14%,7%,7%,14%,0%,25%,0%,25%,9%,10%,10%,0%,0%,11%,11%,0%,13%,0%,0%,13%,0%,14%,14%,0%,29%,33%,33%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,33%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
rocke,12%,4%,12%,8%,14%,5%,5%,5%,16%,16%,11%,13%,13%,13%,13%,20%,14%,-,14%,7%,14%,15%,8%,8%,25%,9%,20%,20%,20%,22%,11%,11%,0%,25%,13%,0%,13%,14%,14%,14%,0%,14%,17%,33%,0%,17%,17%,20%,0%,0%,20%,0%,0%,0%,0%,0%,25%,0%,0%,0%,33%,0%,0%,0%,67%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
muddywater,15%,8%,16%,21%,18%,14%,14%,15%,16%,26%,5%,19%,0%,13%,27%,33%,7%,14%,-,7%,7%,23%,17%,25%,33%,0%,40%,50%,30%,33%,0%,11%,0%,38%,13%,0%,38%,29%,0%,0%,0%,29%,50%,17%,0%,0%,33%,40%,0%,0%,20%,0%,20%,0%,0%,0%,25%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
bronze-butler,8%,4%,16%,8%,5%,5%,5%,10%,11%,11%,5%,6%,6%,7%,0%,13%,7%,7%,7%,-,7%,0%,8%,8%,25%,9%,0%,10%,10%,22%,0%,0%,0%,0%,0%,0%,0%,14%,14%,0%,0%,14%,33%,33%,0%,17%,17%,20%,0%,0%,0%,0%,20%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,33%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt39,15%,0%,4%,4%,9%,14%,5%,15%,5%,16%,11%,19%,13%,7%,7%,13%,14%,14%,7%,7%,-,8%,17%,8%,8%,9%,10%,10%,0%,0%,11%,0%,0%,0%,0%,0%,13%,0%,14%,29%,0%,14%,0%,33%,0%,17%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt37,8%,8%,12%,13%,14%,5%,14%,5%,11%,16%,0%,13%,0%,7%,20%,20%,0%,14%,21%,0%,7%,-,8%,17%,17%,0%,30%,30%,20%,22%,0%,11%,0%,25%,13%,0%,25%,14%,0%,0%,0%,14%,17%,0%,0%,0%,17%,20%,0%,0%,20%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
soft-cell,15%,0%,12%,8%,14%,14%,5%,15%,5%,16%,16%,19%,6%,13%,13%,27%,21%,7%,14%,7%,14%,8%,-,8%,25%,9%,20%,20%,0%,0%,0%,11%,0%,13%,0%,0%,25%,0%,14%,0%,0%,29%,33%,17%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
patchwork,12%,4%,8%,13%,9%,9%,14%,10%,11%,16%,0%,13%,0%,7%,13%,20%,0%,7%,21%,7%,7%,15%,8%,-,17%,0%,20%,30%,20%,22%,0%,0%,0%,13%,13%,0%,25%,29%,0%,0%,0%,0%,33%,17%,0%,0%,33%,40%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
ke3chang,19%,8%,28%,17%,23%,14%,10%,15%,21%,26%,16%,19%,6%,20%,20%,40%,21%,21%,29%,21%,7%,15%,25%,17%,-,9%,30%,40%,30%,33%,0%,22%,0%,38%,13%,0%,25%,29%,14%,0%,0%,57%,83%,33%,0%,17%,33%,40%,0%,0%,20%,0%,20%,0%,0%,0%,75%,0%,0%,0%,0%,0%,0%,33%,67%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
silence,4%,0%,4%,0%,0%,0%,0%,5%,5%,0%,5%,6%,6%,7%,0%,7%,7%,7%,0%,7%,7%,0%,8%,0%,8%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,0%,17%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
stealth-falcon,15%,4%,16%,21%,23%,9%,10%,15%,11%,21%,11%,19%,0%,13%,27%,27%,7%,14%,29%,0%,7%,23%,17%,17%,25%,0%,-,40%,20%,22%,0%,11%,0%,38%,13%,0%,38%,14%,0%,0%,0%,29%,33%,0%,0%,0%,17%,20%,0%,0%,20%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,33%,0%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
magic-hound,15%,8%,16%,21%,18%,14%,14%,15%,16%,26%,5%,19%,0%,13%,27%,33%,7%,14%,36%,7%,7%,23%,17%,25%,33%,0%,40%,-,30%,33%,0%,11%,0%,38%,13%,0%,38%,29%,0%,0%,0%,29%,50%,17%,0%,0%,33%,40%,0%,0%,20%,0%,20%,0%,0%,0%,25%,0%,0%,0%,0%,0%,33%,33%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
honeybee,8%,8%,12%,13%,9%,5%,10%,5%,16%,16%,0%,6%,0%,7%,13%,20%,0%,14%,21%,7%,0%,15%,0%,17%,25%,0%,20%,30%,-,33%,0%,11%,0%,25%,13%,0%,13%,29%,0%,0%,0%,14%,33%,17%,0%,0%,33%,40%,0%,0%,20%,0%,20%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
inception,8%,8%,12%,13%,9%,5%,10%,5%,16%,21%,0%,6%,0%,7%,13%,20%,0%,14%,21%,14%,0%,15%,0%,17%,25%,0%,20%,30%,30%,-,0%,11%,0%,25%,13%,0%,13%,29%,0%,0%,0%,14%,33%,17%,0%,0%,33%,40%,0%,0%,20%,0%,20%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,33%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
cobalt-group,4%,0%,0%,0%,5%,5%,0%,0%,0%,5%,5%,0%,6%,0%,0%,0%,7%,7%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,14%,0%,0%,0%,17%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt38,4%,4%,8%,4%,9%,5%,0%,0%,5%,11%,5%,0%,0%,0%,7%,13%,7%,7%,7%,0%,0%,8%,8%,0%,17%,0%,10%,10%,10%,11%,0%,-,0%,13%,0%,0%,0%,0%,0%,0%,0%,29%,17%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
leviathan,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
darkhotel,8%,4%,12%,13%,14%,5%,5%,5%,11%,16%,5%,13%,0%,13%,20%,20%,7%,14%,21%,0%,0%,15%,8%,8%,25%,0%,30%,30%,20%,22%,0%,11%,0%,-,13%,0%,25%,14%,0%,0%,0%,29%,33%,0%,0%,0%,17%,20%,0%,0%,20%,0%,0%,0%,0%,0%,25%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
blue-mockingbird,4%,0%,4%,4%,5%,0%,5%,0%,5%,5%,0%,6%,0%,7%,7%,7%,0%,7%,7%,0%,0%,8%,0%,8%,8%,0%,10%,10%,10%,11%,0%,0%,0%,13%,-,0%,13%,14%,0%,0%,0%,0%,17%,0%,0%,0%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt33,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-,0%,0%,0%,14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
apt19,12%,0%,8%,13%,14%,9%,10%,10%,5%,16%,5%,19%,0%,13%,20%,20%,7%,7%,21%,0%,7%,15%,17%,17%,17%,0%,30%,30%,10%,11%,0%,0%,0%,25%,13%,0%,-,14%,0%,0%,0%,14%,33%,0%,0%,0%,17%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
