X_AXIS,apt32,lazarus-group,apt28,unc2452,wizard-spider,apt41,turla,oilrig,muddywater,patchwork,bronze-butler,apt39,apt3,fin6,dragonfly-2.0,threat-group-3390,cobalt-group,menupass,rocke,apt33,apt29,tropic-trooper,ta505,leviathan,ke3chang,magic-hound,fin7,fin8,silence,sandworm-team,soft-cell,apt1,temp.veles,kimsuky,gamaredon-group,blue-mockingbird,apt37,inception,machete,honeybee,gorgon-group,fin4,apt19,promethium,molerats,leafminer,frankenstein,apt38,night-dragon,chimera,darkhotel,stolen-pencil,rancor,fin10,deep-panda,dark-caracal,admin@338,windshift,platinum,copykittens,carbanak,apt18,the-white-company,stealth-falcon,sharpshooter,rtm,naikon,gallmaker,elderwood,blacktech,apt-c-36,whitefly,wirte,ta459,sowbug,poseidon-group,mofang,fin5,darkhydrus,cleaver,apt12,threat-group-1314,strider,silverterrier,putter-panda,equation,axiom,thrip,suckfly,orangeworm,group5,gcman,darkvishnya,apt30,winnti-group,scarlet-mimic,moafee,gold-southfield,dragonfly,apt17,apt16,taidoor,pittytiger,neodymium,monsoon,lotus-blossom,dust-storm,dragonok,charming-kitten,blackoasis,apt34
fin6,6,3,3,3,5,4,2,4,4,4,4,4,3,-,4,2,5,4,0,3,3,2,4,3,2,3,5,4,6,1,3,1,2,1,3,4,2,2,2,2,3,1,2,1,3,1,4,1,0,2,2,0,3,3,1,2,2,1,1,1,0,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dragonfly-2.0,5,3,3,3,5,3,3,5,4,5,5,5,3,4,-,2,5,4,1,4,4,2,4,4,1,3,4,5,4,1,3,1,2,1,3,3,2,2,4,1,3,2,2,1,3,0,4,1,1,2,2,0,3,3,1,2,2,2,1,1,0,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
threat-group-3390,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,-,2,2,0,1,1,1,2,2,1,2,2,2,2,0,2,1,1,1,1,2,1,1,0,1,2,0,1,0,1,0,2,1,0,1,1,0,1,2,1,1,1,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cobalt-group,7,4,4,3,5,3,4,5,6,7,5,4,3,5,5,2,-,4,0,5,3,2,7,5,1,4,7,5,6,2,3,1,2,1,4,3,4,3,3,2,4,3,2,1,5,1,5,1,1,2,2,0,4,3,1,2,2,2,1,1,0,1,1,2,3,1,1,3,2,2,3,1,2,3,1,1,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
menupass,4,3,3,3,4,3,2,4,4,4,4,3,3,4,4,2,4,-,0,3,3,2,3,3,1,3,4,4,4,1,3,1,2,1,3,3,2,2,2,1,3,1,2,1,2,0,4,1,0,2,2,0,3,3,1,2,2,1,1,1,0,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rocke,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt33,5,3,2,2,4,2,3,4,4,5,4,4,2,3,4,1,5,3,0,-,3,1,4,4,0,3,4,4,4,2,2,0,2,1,3,2,2,3,3,1,3,3,2,1,4,0,4,0,1,2,1,0,3,2,1,1,1,2,1,1,0,0,1,2,2,1,1,2,2,2,3,1,2,3,0,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt29,3,2,2,2,3,2,1,3,3,3,4,4,2,3,4,1,3,3,1,3,-,1,2,2,0,2,3,3,3,1,2,0,2,1,2,2,1,2,3,0,2,1,2,1,2,0,3,0,0,2,1,0,2,2,1,1,1,1,1,1,0,0,1,2,1,1,1,2,1,1,2,1,1,2,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tropic-trooper,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,0,1,1,-,2,2,1,2,2,2,2,1,1,1,0,0,2,1,2,1,1,1,2,1,1,1,1,0,2,1,0,0,2,0,2,1,0,2,2,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ta505,6,4,4,2,4,2,4,4,5,6,4,3,2,4,4,2,7,3,0,4,2,2,-,5,1,4,6,4,5,2,2,1,1,1,3,2,4,3,2,2,4,3,2,1,5,1,4,1,1,1,2,0,3,2,1,2,2,2,1,1,0,1,1,1,3,1,1,3,2,2,2,1,2,3,1,1,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leviathan,5,4,3,2,4,2,4,4,4,5,4,3,2,3,4,2,5,3,0,4,2,2,5,-,1,4,4,4,4,2,2,1,1,1,3,2,3,3,2,2,4,3,2,1,4,0,4,1,1,1,2,0,3,2,1,2,2,2,1,1,0,1,1,1,2,1,1,2,2,2,2,1,2,3,1,1,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ke3chang,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,1,1,1,-,1,1,1,2,0,1,1,0,0,1,2,1,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magic-hound,4,4,3,2,3,2,3,3,4,4,4,2,2,3,3,2,4,3,0,3,2,2,4,4,1,-,4,3,4,2,2,1,1,1,3,2,3,3,1,2,4,2,2,1,3,0,4,1,0,1,2,0,3,2,1,2,2,1,1,1,0,1,1,1,2,1,1,2,1,1,2,1,2,3,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fin7,6,4,4,3,4,3,3,4,6,6,5,3,3,5,4,2,7,4,0,4,3,2,6,4,1,4,-,4,6,2,3,1,2,1,4,3,4,3,2,2,4,2,2,1,4,1,5,1,0,2,2,0,4,3,1,2,2,1,1,1,0,1,1,2,3,1,1,3,1,1,3,1,2,3,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fin8,5,3,3,3,5,3,3,5,4,5,4,4,3,4,5,2,5,4,0,4,3,2,4,4,1,3,4,-,4,1,3,1,2,1,3,3,2,2,3,1,3,2,2,1,3,0,4,1,1,2,2,0,3,3,1,2,2,2,1,1,0,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silence,7,4,3,3,5,4,3,4,5,5,5,4,3,6,4,2,6,4,0,4,3,2,5,4,2,4,6,4,-,2,3,1,2,1,4,4,3,3,2,3,4,2,2,1,4,1,5,1,0,2,2,0,4,3,1,2,2,1,1,1,0,1,1,2,2,1,1,2,1,1,3,1,2,3,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandworm-team,2,2,1,0,1,0,1,1,2,2,2,1,0,1,1,0,2,1,0,2,1,1,2,2,0,2,2,1,2,-,0,0,0,0,2,0,2,2,1,1,2,2,1,1,2,0,2,0,0,0,1,0,2,0,0,1,1,1,1,0,0,0,1,0,2,1,1,1,1,1,2,1,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soft-cell,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,0,2,2,1,2,2,1,2,3,3,3,0,-,1,2,1,2,3,1,1,1,1,2,0,1,0,1,0,3,1,0,2,1,0,2,3,1,1,1,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,-,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
temp.veles,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,0,2,2,0,1,1,0,1,2,2,2,0,2,0,-,1,1,2,0,1,1,0,1,0,1,0,1,0,2,0,0,2,0,0,1,2,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kimsuky,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,-,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamaredon-group,4,3,2,2,3,2,2,3,5,4,4,2,2,3,3,1,4,3,0,3,2,2,3,3,1,3,4,3,4,2,2,1,1,0,-,2,3,2,2,2,3,2,1,1,2,0,4,1,0,1,2,0,4,2,0,2,2,1,1,0,0,1,1,1,2,1,1,1,1,1,3,1,1,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blue-mockingbird,4,2,2,3,4,4,2,3,3,3,3,3,3,4,3,2,3,3,0,2,2,1,2,2,2,2,3,3,4,0,3,1,2,1,2,-,1,1,1,2,2,0,1,0,1,0,3,1,0,2,1,0,2,3,1,1,1,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt37,3,3,3,1,2,1,2,2,4,4,3,1,1,2,2,1,4,2,0,2,1,2,4,3,1,3,4,2,3,2,1,1,0,0,3,1,-,2,1,2,3,2,1,1,2,0,3,1,0,0,2,0,3,1,0,2,2,1,1,0,0,1,1,0,3,1,1,2,1,1,2,1,1,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inception,3,3,2,1,2,1,2,2,3,3,3,2,1,2,2,1,3,2,0,3,2,1,3,3,0,3,3,2,3,2,1,0,1,1,2,1,2,-,1,1,3,2,2,1,3,0,3,0,0,1,1,0,2,1,1,1,1,1,1,1,0,0,1,1,2,1,1,2,1,1,2,1,2,3,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machete,3,1,1,1,3,1,1,3,2,3,3,4,1,2,4,0,3,2,1,3,3,1,2,2,0,1,2,3,2,1,1,0,1,0,2,1,1,1,-,0,1,2,1,1,2,0,2,0,1,1,1,0,2,1,0,1,1,2,1,0,0,0,1,1,1,1,1,1,2,2,2,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
honeybee,3,2,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,0,1,0,1,2,2,2,2,2,1,3,1,1,1,0,0,2,2,2,1,0,-,2,1,0,0,1,0,2,1,0,0,1,0,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gorgon-group,4,4,3,2,3,2,3,3,4,4,4,2,2,3,3,2,4,3,0,3,2,2,4,4,1,4,4,3,4,2,2,1,1,1,3,2,3,3,1,2,-,2,2,1,3,0,4,1,0,1,2,0,3,2,1,2,2,1,1,1,0,1,1,1,2,1,1,2,1,1,2,1,2,3,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fin4,3,2,1,0,2,0,2,2,2,3,2,2,0,1,2,0,3,1,0,3,1,1,3,3,0,2,2,2,2,2,0,0,0,0,2,0,2,2,2,1,2,-,1,1,3,0,2,0,1,0,1,0,2,0,0,1,1,2,1,0,0,0,1,0,2,1,1,1,2,2,2,1,1,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt19,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,0,2,2,1,2,2,0,2,2,2,2,1,1,0,1,1,1,1,1,2,1,0,2,1,-,1,2,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,1,2,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
promethium,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,-,1,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
molerats,5,3,2,1,3,1,3,3,3,4,3,3,1,3,3,1,5,2,0,4,2,1,5,4,0,3,4,3,4,2,1,0,1,1,2,1,2,3,2,1,3,3,2,1,-,1,3,0,1,1,1,0,2,1,1,1,1,2,1,1,0,0,1,1,2,1,1,2,2,2,2,1,2,3,0,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leafminer,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frankenstein,5,4,3,3,4,3,3,4,5,5,5,3,3,4,4,2,5,4,0,4,3,2,4,4,1,4,5,4,5,2,3,1,2,1,4,3,3,3,2,2,4,2,2,1,3,0,-,1,0,2,2,0,4,3,1,2,2,1,1,1,0,1,1,2,2,1,1,2,1,1,3,1,2,3,1,1,1,0,2,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apt38,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,-,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
night-dragon,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chimera,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,0,2,2,0,1,1,0,1,2,2,2,0,2,0,2,1,1,2,0,1,1,0,1,0,1,0,1,0,2,0,0,-,0,0,1,2,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darkhotel,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,0,1,1,2,2,2,1,2,2,2,2,1,1,1,0,0,2,1,2,1,1,1,2,1,1,1,1,0,2,1,0,0,-,0,2,1,0,2,2,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stolen-pencil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rancor,4,3,2,2,3,2,2,3,4,4,4,2,2,3,3,1,4,3,0,3,2,2,3,3,1,3,4,3,4,2,2,1,1,0,4,2,3,2,2,2,3,2,1,1,2,0,4,1,0,1,2,0,-,2,0,2,2,1,1,0,0,1,1,1,2,1,1,1,1,1,3,1,1,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fin10,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,2,3,3,0,2,2,1,2,2,1,2,3,3,3,0,3,1,2,1,2,3,1,1,1,1,2,0,1,0,1,0,3,1,0,2,1,0,2,-,1,1,1,0,0,1,0,1,0,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deep-panda,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,-,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dark-caracal,2,2,2,1,2,1,1,2,2,2,2,1,1,2,2,1,2,2,0,1,1,2,2,2,1,2,2,2,2,1,1,1,0,0,2,1,2,1,1,1,2,1,1,1,1,0,2,1,0,0,2,0,2,1,0,-,2,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
